ID,X,Y,POTEAU_ID_POT,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN
149,-73.5572147342619,45.502004396887294,98590,\P 10h-11h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VE-A,3
150,-73.5572147342619,45.502004396887294,98590,\P 08h-18h LUN. AU VEN.,SV-OD,2
151,-73.5572147342619,45.502004396887294,98590,\P RESERVE S3R 09h-23h,R-PF,3
242,-73.5674771473852,45.5064890115786,34729,\P EN TOUT TEMPS,SD-TT,3
243,-73.5674771473852,45.5064890115786,34729,\A RESERVE AUTOBUS,AR-TT,2
349,-73.5531987758113,45.5050613045925,11508,\P RESERVE AUTOBUS TOURISTIQUES,R-AT,0
350,-73.5532406610008,45.5049533039519,80868,\P RESERVE FIACRES,R-FI,3
351,-73.5532406610008,45.5049533039519,80868,\P RESERVE AUTOBUS TOURISTIQUES,R-AT,2
352,-73.56421472101391,45.521342773022496,121414,\P EXCEPTE 09h-17h LUN. ET JEU.,SX-JF,0
353,-73.56421472101391,45.521342773022496,121414,\P EXCEPTE S3R 09h-17h LUN ET JEU  (2 SECTEURS),R-PM-2S,3
356,-73.56374924362251,45.5211225728992,14969,\P EXCEPTE 09h-17h LUN. ET JEU.,SX-JF,0
398,-73.5560060865343,45.507453543814,161338,\A EN TOUT TEMPS DES DEUX COTES,AD-DC,0
548,-73.5510846499825,45.4937602339108,111666,\A EN TOUT TEMPS,AD-TT,0
631,-73.5813855723401,45.5010269009187,153346,\P 12h-13h LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JJ-A,0
632,-73.5813855723401,45.5010269009187,153346,\P RESERVE S3R 16h-23h LUN A VEN ET 9h-23h SAM ET DIM,R-RP,3
642,-73.5811722592865,45.4970002522412,25274,\P 08h-09h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AF-A,0
643,-73.5811722592865,45.4970002522412,25274,\P 18h-24h,SD-SR,2
906,-73.5625035682784,45.510631115171,235237,\P EN TOUT TEMPS,SD-TT,3
907,-73.5625035682784,45.510631115171,235237,\P RESERVE S3R          (EN TOUT TEMPS),R-QG,2
908,-73.5625035682784,45.510631115171,235237,\P 12h30-13h30 MAR. 1 AVRIL AU 1 DEC.,SU-MK-A,0
939,-73.5820775557671,45.513264262332,165537,\A EN TOUT TEMPS,AD-TT,0
